isin,IE000XZSV718,IE000MLMNYS0,IE000R4ZNTN3,LU1681045370,IE00BJQRDN15,IE00BP3QZB59,IE00BP3QZ825,IE00BP3QZ601,IE00BH04GL39,LU1650491282,IE00BDBRDM35,IE00B4ND3602,IE00BZ1NCS44,LU2951555403,IE00B44Z5B48,IE00BMVB5R75
IE000XZSV718,1.0,0.97,0.72,0.62,0.93,0.82,0.83,0.88,-0.15,-0.1,-0.15,0.05,0.18,0.0,0.97,0.93
IE000MLMNYS0,0.97,1.0,0.73,0.63,0.91,0.84,0.8,0.86,-0.15,-0.1,-0.15,0.05,0.18,0.0,0.93,0.9
IE000R4ZNTN3,0.72,0.73,1.0,0.72,0.9,0.83,0.78,0.84,-0.15,-0.1,-0.15,0.05,0.18,0.0,0.92,0.89
LU1681045370,0.62,0.63,0.72,1.0,0.78,0.72,0.68,0.73,-0.15,-0.1,-0.15,0.05,0.18,0.0,0.82,0.78
IE00BJQRDN15,0.93,0.91,0.9,0.78,1.0,0.88,0.85,0.9,-0.15,-0.1,-0.15,0.05,0.18,0.0,0.93,0.9
IE00BP3QZB59,0.82,0.84,0.83,0.72,0.88,1.0,0.7,0.78,-0.15,-0.1,-0.15,0.05,0.18,0.0,0.93,0.9
IE00BP3QZ825,0.83,0.8,0.78,0.68,0.85,0.7,1.0,0.78,-0.15,-0.1,-0.15,0.05,0.18,0.0,0.93,0.9
IE00BP3QZ601,0.88,0.86,0.84,0.73,0.9,0.78,0.78,1.0,-0.15,-0.1,-0.15,0.05,0.18,0.0,0.93,0.9
IE00BH04GL39,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,1.0,0.82,0.8,0.12,-0.02,0.15,-0.14,-0.05
LU1650491282,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.82,1.0,0.68,0.22,0.15,0.1,-0.1,-0.02
IE00BDBRDM35,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0.8,0.68,1.0,0.1,0.0,0.12,-0.14,0.02
IE00B4ND3602,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.12,0.22,0.1,1.0,0.25,0.15,0.05,0.05
IE00BZ1NCS44,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.02,0.15,0.0,0.25,1.0,0.2,0.18,0.16
LU2951555403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.12,0.15,0.2,1.0,0.0,0.0
IE00B44Z5B48,0.97,0.93,0.92,0.82,0.93,0.93,0.93,0.93,-0.14,-0.1,-0.14,0.05,0.18,0.0,1.0,0.98
IE00BMVB5R75,0.93,0.9,0.89,0.78,0.9,0.9,0.9,0.9,-0.05,-0.02,0.02,0.05,0.16,0.0,0.98,1.0
